TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.000000, 0.079469, -0.000654, 0.000000, 0.146462, 0.017159, -0.034318, 0.000118, 0.000028, 0.020352, -0.040704, 0.000000, 0.187913, 0.000000
1, 0.000000, 0.000698, 0.079447, -0.000839, 0.000000, 0.145871, 0.017128, -0.034255, 0.000118, 0.000028, 0.020286, -0.040573, 0.000000, 0.187909, -0.000006
2, 0.000000, 0.002756, 0.079380, -0.001395, 0.000000, 0.144158, 0.017033, -0.034067, 0.000118, 0.000028, 0.020093, -0.040185, 0.000000, 0.187920, -0.000021
3, 0.000000, 0.006087, 0.079271, -0.002319, 0.000000, 0.141471, 0.016877, -0.033755, 0.000118, 0.000028, 0.019777, -0.039555, 0.000000, 0.188001, -0.000039
4, 0.000000, 0.010606, 0.079121, -0.003608, 0.000000, 0.137984, 0.016662, -0.033323, 0.000118, 0.000028, 0.019351, -0.038703, 0.000000, 0.188235, -0.000058
5, 0.000000, 0.016263, 0.078932, -0.005258, 0.000000, 0.133859, 0.016388, -0.032776, 0.000117, 0.000028, 0.018826, -0.037652, 0.000000, 0.188727, -0.000076
6, 0.000000, 0.023047, 0.078707, -0.007263, 0.000000, 0.129234, 0.016060, -0.032120, 0.000117, 0.000028, 0.018214, -0.036427, 0.000000, 0.189596, -0.000092
7, 0.000000, 0.030986, 0.078448, -0.009614, 0.000000, 0.124220, 0.015679, -0.031359, 0.000116, 0.000028, 0.017527, -0.035054, 0.000000, 0.190978, -0.000106
8, 0.000000, 0.040133, 0.078157, -0.012299, 0.000000, 0.118909, 0.015250, -0.030501, 0.000116, 0.000028, 0.016778, -0.033556, 0.000000, 0.193015, -0.000118
9, 0.000000, 0.050559, 0.077836, -0.015303, 0.000000, 0.113376, 0.014777, -0.029553, 0.000115, 0.000029, 0.015979, -0.031959, 0.000000, 0.195857, -0.000127
10, 0.000000, 0.062338, 0.077488, -0.018605, 0.000000, 0.107685, 0.014262, -0.028524, 0.000115, 0.000029, 0.015142, -0.030284, 0.000000, 0.199645, -0.000133
11, 0.000000, 0.075529, 0.077112, -0.022179, 0.000000, 0.101895, 0.013712, -0.027423, 0.000114, 0.000029, 0.014278, -0.028556, 0.000000, 0.204509, -0.000136
12, 0.000000, 0.090162, 0.076710, -0.025993, 0.000000, 0.096057, 0.013130, -0.026260, 0.000113, 0.000029, 0.013399, -0.026798, 0.000000, 0.210549, -0.000136
13, 0.000000, 0.106213, 0.076284, -0.030008, 0.000000, 0.090224, 0.012524, -0.025047, 0.000112, 0.000029, 0.012515, -0.025029, 0.000000, 0.217816, -0.000133
14, 0.000000, 0.123584, 0.075832, -0.034176, 0.000000, 0.084446, 0.011898, -0.023796, 0.000112, 0.000029, 0.011637, -0.023274, 0.000000, 0.226292, -0.000126
15, 0.000000, 0.142072, 0.075357, -0.038441, 0.000000, 0.078773, 0.011260, -0.022520, 0.000111, 0.000029, 0.010776, -0.021551, 0.000000, 0.235866, -0.000116
16, 0.000000, 0.161351, 0.074858, -0.042737, 0.000000, 0.073254, 0.010617, -0.021234, 0.000110, 0.000029, 0.009941, -0.019881, 0.000000, 0.246307, -0.000102
17, 0.000000, 0.180950, 0.074335, -0.046992, 0.000000, 0.067940, 0.009977, -0.019953, 0.000109, 0.000029, 0.009141, -0.018283, 0.000000, 0.257254, -0.000086
18, 0.000000, 0.200253, 0.073789, -0.051127, 0.000000, 0.062884, 0.009346, -0.018692, 0.000109, 0.000029, 0.008386, -0.016771, 0.000000, 0.268205, -0.000069
19, 0.000000, 0.218511, 0.073219, -0.055060, 0.000000, 0.058140, 0.008733, -0.017465, 0.000108, 0.000028, 0.007681, -0.015362, 0.000000, 0.278533, -0.000051
20, 0.000000, 0.234903, 0.072628, -0.058708, 0.000000, 0.053746, 0.008143, -0.016287, 0.000107, 0.000028, 0.007032, -0.014064, 0.000000, 0.287529, -0.000032
21, 0.000000, 0.248608, 0.072014, -0.061991, 0.000000, 0.049714, 0.007584, -0.015169, 0.000106, 0.000028, 0.006443, -0.012885, 0.000000, 0.294451, -0.000016
22, 0.000000, 0.258852, 0.071379, -0.064840, 0.000000, 0.046080, 0.007061, -0.014122, 0.000106, 0.000028, 0.005915, -0.011829, 0.000000, 0.298629, -0.000003
23, 0.000000, 0.265048, 0.070724, -0.067197, 0.000000, 0.042849, 0.006576, -0.013153, 0.000105, 0.000027, 0.005448, -0.010896, 0.000000, 0.299532, 0.000009
